GAUSSIAN NOISE:
[Hybrid] Step 3100: Loss = 3.9063, W = 2.4160, b = 1.9841, LR = 0.000001
[Squared] Step 3200: Loss = 5.8758, W = 2.4194, b = 1.9940, LR = 0.000001
[Huber] Step 3200: Loss = 1.4959, W = 2.3157, b = 1.8476, LR = 0.000001
[Hybrid] Step 3200: Loss = 3.9058, W = 2.4160, b = 1.9841, LR = 0.000001
[Squared] Step 3300: Loss = 5.8764, W = 2.4194, b = 1.9940, LR = 0.000043
[Huber] Step 3300: Loss = 1.4970, W = 2.3158, b = 1.8478, LR = 0.000001
[Hybrid] Step 3300: Learning rate reduced to 0.000000
[Hybrid] Step 3300: Loss = 3.9059, W = 2.4161, b = 1.9842, LR = 0.000044
[Squared] Step 3400: Loss = 5.8758, W = 2.4194, b = 1.9941, LR = 0.000001
[Huber] Step 3400: Loss = 1.4967, W = 2.3160, b = 1.8480, LR = 0.000001
[Hybrid] Step 3400: Loss = 3.9058, W = 2.4161, b = 1.9842, LR = 0.000001
[Squared] Step 3500: Loss = 5.8759, W = 2.4194, b = 1.9941, LR = 0.000038
[Huber] Step 3500: Loss = 1.4965, W = 2.3161, b = 1.8482, LR = 0.000001
[Hybrid] Step 3500: Loss = 3.9058, W = 2.4161, b = 1.9843, LR = 0.000005
[Squared] Step 3600: Loss = 5.8759, W = 2.4194, b = 1.9942, LR = 0.000001
[Huber] Step 3600: Loss = 1.4961, W = 2.3163, b = 1.8484, LR = 0.000001
[Hybrid] Step 3600: Loss = 3.9058, W = 2.4161, b = 1.9843, LR = 0.000001
[Squared] Step 3700: Loss = 5.8761, W = 2.4194, b = 1.9942, LR = 0.000001
[Huber] Step 3700: Loss = 1.4961, W = 2.3165, b = 1.8486, LR = 0.000124
[Hybrid] Step 3700: Loss = 3.9057, W = 2.4161, b = 1.9843, LR = 0.000101
[Squared] Step 3800: Loss = 5.8760, W = 2.4194, b = 1.9942, LR = 0.000001
[Huber] Step 3800: Loss = 1.4960, W = 2.3166, b = 1.8487, LR = 0.000001
[Hybrid] Step 3800: Loss = 3.9057, W = 2.4161, b = 1.9844, LR = 0.000001
[Squared] Step 3900: Loss = 5.8761, W = 2.4194, b = 1.9942, LR = 0.000086
[Huber] Step 3900: Loss = 1.4963, W = 2.3168, b = 1.8489, LR = 0.000013
[Hybrid] Step 3900: Loss = 3.9058, W = 2.4161, b = 1.9844, LR = 0.000001
[Squared] Step 4000: Loss = 5.8764, W = 2.4194, b = 1.9942, LR = 0.000001
[Huber] Step 4000: Loss = 1.4965, W = 2.3169, b = 1.8491, LR = 0.000001
[Hybrid] Step 4000: Learning rate reduced to 0.000000
[Hybrid] Step 4000: Loss = 3.9059, W = 2.4162, b = 1.9845, LR = 0.000001
[Squared] Step 4100: Loss = 5.8759, W = 2.4194, b = 1.9943, LR = 0.000001
[Huber] Step 4100: Loss = 1.4962, W = 2.3170, b = 1.8492, LR = 0.000001
[Hybrid] Step 4100: Loss = 3.9058, W = 2.4162, b = 1.9846, LR = 0.000069
[Squared] Step 4200: Loss = 5.8757, W = 2.4194, b = 1.9943, LR = 0.000001
[Huber] Step 4200: Loss = 1.4974, W = 2.3172, b = 1.8494, LR = 0.000129
[Hybrid] Step 4200: Loss = 3.9057, W = 2.4162, b = 1.9846, LR = 0.000001
[Squared] Step 4300: Loss = 5.8758, W = 2.4194, b = 1.9943, LR = 0.000001
[Huber] Step 4300: Loss = 1.4965, W = 2.3174, b = 1.8496, LR = 0.000005
[Hybrid] Step 4300: Loss = 3.9056, W = 2.4162, b = 1.9846, LR = 0.000097
[Squared] Step 4400: Loss = 5.8760, W = 2.4194, b = 1.9943, LR = 0.000001
[Huber] Step 4400: Loss = 1.4959, W = 2.3176, b = 1.8498, LR = 0.000001
[Hybrid] Step 4400: Loss = 3.9057, W = 2.4162, b = 1.9847, LR = 0.000055
[Squared] Step 4500: Loss = 5.8760, W = 2.4194, b = 1.9943, LR = 0.000001
[Huber] Step 4500: Loss = 1.4969, W = 2.3177, b = 1.8500, LR = 0.000001
[Hybrid] Step 4500: Loss = 3.9059, W = 2.4163, b = 1.9847, LR = 0.000001
[Squared] Step 4600: Loss = 5.8757, W = 2.4194, b = 1.9943, LR = 0.000001
[Huber] Step 4600: Loss = 1.4960, W = 2.3179, b = 1.8502, LR = 0.000089
[Hybrid] Step 4600: Loss = 3.9059, W = 2.4163, b = 1.9847, LR = 0.000128
[Squared] Step 4700: Loss = 5.8759, W = 2.4195, b = 1.9943, LR = 0.000001
[Huber] Step 4700: Loss = 1.4964, W = 2.3180, b = 1.8504, LR = 0.000001
[Hybrid] Step 4700: Loss = 3.9057, W = 2.4163, b = 1.9848, LR = 0.000001
[Squared] Step 4800: Loss = 5.8762, W = 2.4195, b = 1.9944, LR = 0.000058
[Huber] Step 4800: Loss = 1.4953, W = 2.3181, b = 1.8505, LR = 0.000119
[Hybrid] Step 4800: Loss = 3.9057, W = 2.4163, b = 1.9848, LR = 0.000055
[Squared] Step 4900: Loss = 5.8760, W = 2.4195, b = 1.9944, LR = 0.000177
[Huber] Step 4900: Loss = 1.4974, W = 2.3183, b = 1.8507, LR = 0.000051
[Hybrid] Step 4900: Loss = 3.9061, W = 2.4163, b = 1.9849, LR = 0.000028

Final Parameters:
Squared Loss: W = 2.4195, b = 1.9944, Loss = 5.8760, Final LR = 0.000000
Huber Loss: W = 2.3184, b = 1.8508, Loss = 1.4959, Final LR = 0.000000
Hybrid Loss: W = 2.4163, b = 1.9849, Loss = 3.9057, Final LR = 0.000000

UNIFORM NOISE:
[Squared] Step 0: Loss = 10.6311, W = 0.5249, b = 0.3169, LR = 0.004953
[Huber] Step 0: Loss = 2.1502, W = 0.5029, b = 0.3022, LR = 0.005003
[Hybrid] Step 0: Loss = 6.6496, W = 0.5143, b = 0.3099, LR = 0.005084
[Squared] Step 100: Loss = 3.0329, W = 2.0363, b = 1.3815, LR = 0.004947
[Huber] Step 100: Loss = 1.8909, W = 0.7923, b = 0.5207, LR = 0.004938
[Hybrid] Step 100: Loss = 3.1087, W = 1.5803, b = 1.0567, LR = 0.004934
[Squared] Step 200: Loss = 2.1527, W = 2.5314, b = 1.7669, LR = 0.005037
[Huber] Step 200: Loss = 1.6500, W = 1.0718, b = 0.7283, LR = 0.005068
[Hybrid] Step 200: Loss = 2.0328, W = 2.1619, b = 1.4842, LR = 0.005098
[Squared] Step 300: Loss = 2.0489, W = 2.6948, b = 1.9069, LR = 0.005090
[Huber] Step 300: Loss = 1.4334, W = 1.3369, b = 0.9229, LR = 0.005076
[Hybrid] Step 300: Loss = 1.7169, W = 2.4649, b = 1.7190, LR = 0.005049
[Squared] Step 400: Loss = 2.0378, W = 2.7478, b = 1.9581, LR = 0.005097
[Huber] Step 400: Loss = 1.2446, W = 1.5827, b = 1.1009, LR = 0.004952
[Hybrid] Step 400: Loss = 1.6358, W = 2.6180, b = 1.8451, LR = 0.005000
[Squared] Step 500: Loss = 2.0371, W = 2.7656, b = 1.9771, LR = 0.005099
[Huber] Step 500: Loss = 1.1000, W = 1.8048, b = 1.2606, LR = 0.005045
[Hybrid] Step 500: Loss = 1.6143, W = 2.6963, b = 1.9129, LR = 0.005057
[Squared] Step 600: Loss = 2.0365, W = 2.7710, b = 1.9822, LR = 0.002526
[Huber] Step 600: Loss = 0.9837, W = 1.9975, b = 1.3989, LR = 0.004954
[Hybrid] Step 600: Loss = 1.6095, W = 2.7357, b = 1.9481, LR = 0.004974
[Squared] Step 700: Loss = 2.0366, W = 2.7719, b = 1.9830, LR = 0.000538
[Huber] Step 700: Loss = 0.9028, W = 2.1597, b = 1.5160, LR = 0.004919
[Hybrid] Step 700: Loss = 1.6077, W = 2.7547, b = 1.9670, LR = 0.005089
[Squared] Step 800: Loss = 2.0365, W = 2.7720, b = 1.9832, LR = 0.000181
[Huber] Step 800: Loss = 0.8541, W = 2.2924, b = 1.6130, LR = 0.004958
[Hybrid] Step 800: Loss = 1.6073, W = 2.7641, b = 1.9775, LR = 0.004924
[Squared] Step 900: Loss = 2.0365, W = 2.7721, b = 1.9833, LR = 0.000001
[Huber] Step 900: Loss = 0.8148, W = 2.3989, b = 1.6918, LR = 0.005026
[Hybrid] Step 900: Loss = 1.6074, W = 2.7689, b = 1.9823, LR = 0.002424
[Squared] Step 1000: Loss = 2.0366, W = 2.7721, b = 1.9834, LR = 0.000044
[Huber] Step 1000: Loss = 0.7951, W = 2.4833, b = 1.7554, LR = 0.005031
[Hybrid] Step 1000: Loss = 1.6074, W = 2.7698, b = 1.9836, LR = 0.000661
[Squared] Step 1100: Loss = 2.0366, W = 2.7721, b = 1.9834, LR = 0.000001
[Huber] Step 1100: Loss = 0.7790, W = 2.5491, b = 1.8063, LR = 0.005058
[Hybrid] Step 1100: Loss = 1.6073, W = 2.7700, b = 1.9838, LR = 0.000145
[Squared] Step 1200: Loss = 2.0366, W = 2.7721, b = 1.9834, LR = 0.000001
[Huber] Step 1200: Loss = 0.7728, W = 2.6002, b = 1.8467, LR = 0.004986
[Hybrid] Step 1200: Loss = 1.6074, W = 2.7701, b = 1.9839, LR = 0.000028
[Squared] Step 1300: Loss = 2.0365, W = 2.7721, b = 1.9834, LR = 0.000001
[Huber] Step 1300: Loss = 0.7667, W = 2.6400, b = 1.8788, LR = 0.005011
[Hybrid] Step 1300: Loss = 1.6075, W = 2.7701, b = 1.9840, LR = 0.000093
[Squared] Step 1400: Loss = 2.0366, W = 2.7721, b = 1.9834, LR = 0.000001
[Huber] Step 1400: Loss = 0.7638, W = 2.6700, b = 1.9043, LR = 0.005070
[Hybrid] Step 1400: Loss = 1.6073, W = 2.7701, b = 1.9840, LR = 0.000001
[Squared] Step 1500: Loss = 2.0365, W = 2.7722, b = 1.9835, LR = 0.000001
[Huber] Step 1500: Loss = 0.7618, W = 2.6932, b = 1.9242, LR = 0.005062
[Hybrid] Step 1500: Loss = 1.6073, W = 2.7701, b = 1.9840, LR = 0.000009
[Squared] Step 1600: Loss = 2.0365, W = 2.7722, b = 1.9835, LR = 0.000001
[Huber] Step 1600: Loss = 0.7603, W = 2.7107, b = 1.9399, LR = 0.004938
[Hybrid] Step 1600: Loss = 1.6073, W = 2.7701, b = 1.9840, LR = 0.000018
[Squared] Step 1700: Loss = 2.0366, W = 2.7722, b = 1.9835, LR = 0.000001
[Huber] Step 1700: Loss = 0.7598, W = 2.7239, b = 1.9522, LR = 0.004987
[Hybrid] Step 1700: Loss = 1.6074, W = 2.7701, b = 1.9840, LR = 0.000001
[Squared] Step 1800: Loss = 2.0366, W = 2.7722, b = 1.9835, LR = 0.000098
[Huber] Step 1800: Loss = 0.7596, W = 2.7341, b = 1.9621, LR = 0.005084
[Hybrid] Step 1800: Loss = 1.6073, W = 2.7701, b = 1.9840, LR = 0.000073
[Squared] Step 1900: Loss = 2.0366, W = 2.7722, b = 1.9835, LR = 0.000001
[Huber] Step 1900: Loss = 0.7595, W = 2.7418, b = 1.9698, LR = 0.004927
[Hybrid] Step 1900: Loss = 1.6073, W = 2.7702, b = 1.9841, LR = 0.000001
[Squared] Step 2000: Loss = 2.0366, W = 2.7722, b = 1.9835, LR = 0.000001
[Huber] Step 2000: Loss = 0.7592, W = 2.7476, b = 1.9755, LR = 0.005052
[Hybrid] Step 2000: Loss = 1.6073, W = 2.7702, b = 1.9841, LR = 0.000095
[Squared] Step 2100: Loss = 2.0366, W = 2.7722, b = 1.9836, LR = 0.000068
[Huber] Step 2100: Loss = 0.7591, W = 2.7519, b = 1.9801, LR = 0.004986
[Hybrid] Step 2100: Loss = 1.6073, W = 2.7702, b = 1.9841, LR = 0.000001
[Squared] Step 2200: Loss = 2.0365, W = 2.7722, b = 1.9836, LR = 0.000001
[Huber] Step 2200: Loss = 0.7591, W = 2.7551, b = 1.9838, LR = 0.005048
[Hybrid] Step 2200: Loss = 1.6073, W = 2.7702, b = 1.9841, LR = 0.000055
[Squared] Step 2300: Loss = 2.0365, W = 2.7723, b = 1.9836, LR = 0.000034
[Huber] Step 2300: Loss = 0.7591, W = 2.7575, b = 1.9863, LR = 0.002576
[Hybrid] Step 2300: Loss = 1.6073, W = 2.7702, b = 1.9841, LR = 0.000001
[Squared] Step 2400: Loss = 2.0365, W = 2.7723, b = 1.9836, LR = 0.000001
[Huber] Step 2400: Loss = 0.7591, W = 2.7583, b = 1.9872, LR = 0.000542
[Hybrid] Step 2400: Loss = 1.6074, W = 2.7702, b = 1.9841, LR = 0.000053
[Squared] Step 2500: Loss = 2.0366, W = 2.7723, b = 1.9836, LR = 0.000001
[Huber] Step 2500: Learning rate reduced to 0.000156
[Huber] Step 2500: Loss = 0.7590, W = 2.7584, b = 1.9874, LR = 0.000376
[Hybrid] Step 2500: Loss = 1.6073, W = 2.7702, b = 1.9841, LR = 0.000001
[Squared] Step 2600: Loss = 2.0365, W = 2.7723, b = 1.9837, LR = 0.000079
[Huber] Step 2600: Loss = 0.7590, W = 2.7585, b = 1.9875, LR = 0.000001
